"scene_code","scene_template_num","business_type_code","business_type_level","primary_tag_code","secondary_tag_code","secondary_title_level","usergroup_id","image_location","channel_touch_code_set","status","is_scene_all_touch_query","exclusive_scene_id","order_field","creator_id","create_time","update_time"
"1859827586784331101","00251","BU04","8","SYH","SYH003","5","1857052177378713601",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:23"
"1859827586784331102","00252","BU04","8","SYH","SYH003","5","1857052411097915392",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:23"
"1859827586784331103","00253","BU04","8","SYH","SYH003","5","1857052784634241024",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:24"
"1859827586784331104","00254","BU04","8","SYH","SYH003","5","1857053036477030400",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:24"
"1859827586784331105","00136","BU04","8","SYH","SYH010","2","1857043507169206272",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:25"
"1859827586784331106","00137","BU04","8","SYH","SYH002","3","1857044167524622337",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:25"
"1859827586784331107","00255","BU04","8","SYH","SYH002","3","1857053227930230784",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:25"
"1859827586784331108","00248","BU04","8","SYH","SYH002","3","1857051463529144320",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:26"
"1859827586784331109","00256","BU04","8","SYH","SYH002","3","1857053400903327744",,"{""100011"":""50011"",""100006"":""9001101001""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:26"
"1859827586784331110","00138","BU04","8","STJ","STJ013","6","1857044357258153985",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1","00108,00110",,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:27"
"1859827586784331111","00139","BU04","8","STX","STX007","1","1857044505585520641",,"{""100006"":""9001101002"",""1849751017281953793"":""10004500004""}","60","1",,,"mengll","12/11/2024 19:18:23","9/1/2025 23:40:27"
